176,	369,	-1273,	1459,	-48,	-31,	-10
177,	372,	-1283,	1466,	-27,	-37,	-28
178,	374,	-1283,	1477,	-11,	-49,	-5
179,	388,	-1292,	1474,	-18,	-37,	3
180,	387,	-1281,	1477,	4,	-38,	4
181,	370,	-1262,	1475,	31,	-49,	-8
182,	375,	-1257,	1481,	61,	-117,	15
183,	373,	-1244,	1485,	89,	-26,	12
184,	382,	-1216,	1503,	131,	34,	-8
185,	357,	-1188,	1609,	190,	-28,	-15
186,	392,	-1165,	1599,	301,	-17,	-24
187,	375,	-1111,	1581,	320,	7,	-31
188,	364,	-1064,	1620,	266,	29,	-41
189,	348,	-989,	1657,	342,	23,	-68
190,	341,	-933,	1665,	491,	11,	-97
191,	345,	-815,	1729,	514,	14,	-123
192,	377,	-770,	1806,	577,	52,	-172
193,	365,	-602,	1841,	654,	-10,	-204
194,	353,	-527,	1868,	598,	15,	-99
195,	328,	-424,	1855,	586,	-63,	-10
196,	365,	-328,	1877,	416,	15,	4
197,	325,	-250,	1892,	293,	66,	-62
198,	333,	-243,	1929,	153,	86,	-72
199,	280,	-172,	1929,	81,	2,	-27
200,	277,	-162,	1914,	122,	18,	-4
201,	286,	-153,	1890,	85,	-12,	32
202,	285,	-137,	1919,	36,	-68,	0
203,	302,	-119,	1938,	5,	-100,	-5
204,	290,	-83,	1943,	36,	-45,	-36
205,	295,	-75,	1911,	33,	-47,	-21
206,	297,	-60,	1911,	1,	-5,	-19
207,	307,	-73,	1934,	-10,	-32,	-9
208,	309,	-66,	1927,	-41,	-12,	-23
209,	302,	-58,	1929,	-54,	4,	-37
210,	278,	-48,	1917,	-35,	-56,	-32
211,	292,	-63,	1937,	-37,	-27,	5
212,	295,	-56,	1937,	-15,	-10,	0
213,	284,	-57,	1924,	-24,	-27,	0
214,	286,	-47,	1942,	3,	-19,	6
215,	287,	-51,	1924,	36,	-16,	-20
216,	274,	-44,	1895,	43,	-24,	-16
217,	276,	-7,	1932,	46,	-13,	-1
218,	283,	10,	1936,	71,	6,	-9
219,	271,	38,	1945,	101,	-21,	-8
220,	265,	72,	1941,	188,	-25,	-11
221,	248,	110,	1906,	251,	3,	-27
222,	244,	204,	1939,	362,	56,	-28
223,	251,	251,	1919,	486,	-59,	-77
224,	238,	368,	1941,	684,	-84,	-94
225,	251,	504,	1908,	877,	-131,	-60
226,	284,	617,	1848,	787,	-48,	6
227,	293,	738,	1705,	663,	-134,	-14
228,	278,	835,	1629,	467,	-37,	-81
229,	273,	935,	1697,	299,	-73,	-85
230,	257,	982,	1620,	212,	-61,	-54
231,	264,	1034,	1629,	221,	-52,	-30
232,	280,	1052,	1628,	112,	3,	-3
233,	279,	1058,	1595,	27,	-37,	-9
234,	265,	1066,	1592,	1,	-9,	-2
235,	264,	1095,	1612,	17,	-19,	-4
236,	274,	1081,	1586,	3,	-13,	-1
237,	256,	1095,	1585,	-27,	-14,	-9
238,	269,	1089,	1578,	-20,	-29,	-4
239,	263,	1096,	1585,	-24,	-42,	-11
240,	266,	1102,	1593,	-32,	-48,	-12
241,	270,	1105,	1603,	-31,	-46,	-13
242,	263,	1117,	1594,	-37,	-36,	-5
243,	271,	1099,	1590,	-35,	-15,	-4
244,	272,	1104,	1606,	-62,	-9,	10
245,	254,	1113,	1564,	-30,	-6,	-8
246,	265,	1093,	1591,	-74,	7,	-11
247,	259,	1105,	1626,	-39,	-15,	-7
248,	264,	1101,	1606,	-64,	-12,	-7
249,	252,	1102,	1594,	-60,	-19,	-9
250,	249,	1094,	1603,	-46,	-24,	-10
251,	261,	1090,	1608,	-45,	-37,	-8
252,	241,	1097,	1595,	-34,	-23,	-11
253,	246,	1094,	1610,	-35,	-19,	-6
254,	254,	1088,	1607,	-63,	-14,	-5
255,	242,	1094,	1614,	-72,	-20,	-1
256,	241,	1094,	1604,	-66,	-28,	0
257,	235,	1078,	1601,	-83,	-31,	-9
258,	230,	1063,	1598,	-129,	7,	-8
259,	241,	1065,	1633,	-128,	-20,	13
260,	239,	1050,	1629,	-158,	-31,	11
261,	221,	1016,	1601,	-187,	-56,	-1
262,	240,	992,	1647,	-279,	-47,	8
263,	235,	965,	1688,	-321,	-40,	19
264,	232,	897,	1692,	-424,	-15,	62
265,	223,	827,	1686,	-455,	-50,	24
266,	259,	741,	1787,	-517,	-96,	46
267,	234,	700,	1777,	-604,	-12,	14
268,	237,	572,	1818,	-611,	80,	28
269,	226,	488,	1845,	-535,	-36,	79
270,	266,	405,	1934,	-513,	-23,	83
271,	237,	306,	1846,	-527,	-13,	65
272,	235,	243,	1897,	-569,	-93,	108
273,	269,	170,	2011,	-510,	-21,	121
274,	245,	67,	1915,	-417,	-52,	46
275,	212,	-25,	1884,	-287,	0,	-11
276,	237,	-16,	1944,	-252,	29,	-6
277,	212,	-40,	1952,	-112,	86,	-10
278,	205,	-76,	1913,	-13,	-11,	-40
279,	200,	-46,	1935,	-38,	11,	-52
280,	190,	-35,	1919,	-44,	-2,	-15
281,	196,	-42,	1924,	-2,	20,	-32
282,	171,	-26,	1909,	19,	43,	-34
283,	153,	-13,	1916,	-15,	42,	9
284,	151,	-20,	1919,	-40,	-15,	4
285,	150,	-14,	1947,	-37,	12,	-14
286,	136,	-9,	1939,	-69,	-10,	7
287,	134,	-12,	1944,	-12,	9,	1
288,	133,	-29,	1920,	-32,	-13,	12
289,	135,	-20,	1949,	-41,	-5,	15
290,	129,	-8,	1937,	-35,	2,	9
291,	108,	-18,	1920,	-16,	-16,	10
292,	115,	-15,	1954,	-21,	16,	9
293,	97,	2,	1938,	-26,	49,	17
294,	78,	-1,	1917,	9,	77,	-11
295,	50,	-23,	1876,	35,	193,	-5
296,	-6,	-9,	1903,	-13,	435,	-46
297,	-105,	34,	1950,	-32,	554,	-73
298,	-214,	63,	1938,	-22,	736,	-115
299,	-374,	29,	1862,	93,	566,	-99
300,	-495,	2,	1871,	-2,	981,	-10
301,	-672,	27,	1754,	-7,	687,	33
302,	-819,	27,	1690,	54,	822,	5
303,	-954,	40,	1681,	-42,	863,	81
304,	-980,	13,	1618,	-98,	845,	-11
305,	-1160,	35,	1530,	-55,	685,	-74
306,	-1238,	53,	1451,	-113,	420,	-61
307,	-1272,	30,	1385,	-107,	343,	-29
308,	-1324,	13,	1366,	-100,	131,	-52
309,	-1368,	16,	1450,	-39,	213,	-53
310,	-1380,	7,	1339,	-23,	-25,	-8
311,	-1373,	0,	1302,	7,	-4,	6
312,	-1397,	5,	1298,	-6,	35,	-9
313,	-1412,	36,	1275,	-8,	12,	20
314,	-1386,	16,	1306,	-31,	-5,	32
315,	-1387,	33,	1311,	-46,	-23,	-7
316,	-1401,	37,	1311,	-26,	-64,	27
317,	-1385,	27,	1308,	-54,	-66,	5
318,	-1389,	24,	1280,	-85,	-68,	11
319,	-1385,	13,	1310,	-25,	-59,	10
320,	-1380,	15,	1302,	-24,	-42,	10
321,	-1382,	22,	1316,	-46,	-58,	-10
322,	-1377,	32,	1326,	-38,	-102,	7
323,	-1370,	23,	1325,	-30,	-112,	-1
324,	-1357,	28,	1351,	-86,	-91,	-6
